Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,12100.000000,12100.000000,12100.000000,12100.000000,10141.448242,0
2015-01-02,12100.000000,12100.000000,12000.000000,12073.000000,10118.820313,2088
2015-01-05,12034.000000,12226.000000,11992.000000,12064.000000,10111.275391,307456
2015-01-06,12100.000000,12100.000000,12012.000000,12100.000000,10141.448242,22119
2015-01-07,12000.000000,12101.000000,12000.000000,12079.000000,10123.847656,33659
2015-01-08,12156.000000,12192.000000,12099.000000,12100.000000,10141.448242,53466
2015-01-09,12100.000000,12116.000000,12001.000000,12050.000000,10099.542969,54846
2015-01-12,12050.000000,12063.000000,11921.000000,11930.000000,9998.965820,60278
2015-01-13,11942.000000,12044.000000,11720.000000,11800.000000,9890.007813,63142
2015-01-14,11874.000000,11956.000000,11640.000000,11865.000000,9944.485352,282279
2015-01-15,11623.000000,11800.000000,11550.000000,11600.000000,9722.381836,40772
2015-01-16,11550.000000,11600.000000,11298.000000,11401.000000,9555.590820,332687
2015-01-19,11670.000000,11675.000000,11375.000000,11375.000000,9533.799805,55301
2015-01-20,11379.000000,11675.000000,11379.000000,11650.000000,9764.287109,39151
2015-01-21,11900.000000,11909.000000,11561.000000,11615.000000,9734.952148,63740
2015-01-22,11875.000000,11875.000000,11600.000000,11736.000000,9836.367188,24141
2015-01-23,11900.000000,12189.000000,11738.000000,12100.000000,10141.448242,72059
2015-01-26,12000.000000,12292.000000,11961.000000,12255.000000,10271.359375,57982
2015-01-27,12200.000000,12300.000000,12100.000000,12258.000000,10273.874023,57528
2015-01-28,12374.000000,12374.000000,12012.000000,12020.000000,10074.397461,54432
2015-01-29,12021.000000,12140.000000,12000.000000,12050.000000,10099.542969,30553
2015-01-30,12100.000000,12232.000000,11995.000000,12232.000000,10252.083008,147021
2015-02-02,12312.000000,12350.000000,12050.000000,12154.000000,10186.708008,30686
2015-02-03,12051.000000,12100.000000,11954.000000,12000.000000,10057.635742,53867
2015-02-04,12023.000000,12198.000000,11980.000000,12000.000000,10057.635742,132589
2015-02-05,12180.000000,12298.000000,12048.000000,12247.000000,10264.655273,11671
2015-02-06,12279.000000,12476.000000,12052.000000,12342.000000,10344.277344,47574
2015-02-09,12342.000000,12368.000000,12102.000000,12285.000000,10296.502930,18727
2015-02-10,12117.000000,12356.000000,12000.000000,12072.000000,10117.981445,43861
2015-02-11,12049.000000,12200.000000,12000.000000,12100.000000,10141.448242,75894
2015-02-12,12008.000000,12490.000000,12000.000000,12200.000000,10225.261719,147584
2015-02-13,12247.000000,12333.000000,12205.000000,12250.000000,10267.168945,124994
2015-02-16,12250.000000,12418.000000,12250.000000,12260.000000,10275.550781,58928
2015-02-17,12470.000000,12470.000000,12200.000000,12338.000000,10340.923828,62507
2015-02-18,12221.000000,12402.000000,12221.000000,12260.000000,10275.550781,66727
2015-02-19,12250.000000,12332.000000,12001.000000,12069.000000,10115.466797,83521
2015-02-20,12149.000000,12250.000000,11701.000000,11840.000000,9923.532227,139222
2015-02-23,11856.000000,12095.000000,11850.000000,11930.000000,9998.965820,186495
2015-02-24,11869.000000,12299.000000,11831.000000,12150.000000,10183.355469,52681
2015-02-25,12270.000000,12330.000000,12107.000000,12132.000000,10168.268555,82467
2015-02-26,12300.000000,12300.000000,12101.000000,12170.000000,10200.118164,101684
2015-02-27,12180.000000,12199.000000,12150.000000,12155.000000,10187.545898,115781
2015-03-02,12286.000000,12324.000000,12225.000000,12310.000000,10317.456055,42770
2015-03-03,12332.000000,12400.000000,12301.000000,12355.000000,10355.174805,25822
2015-03-04,12400.000000,12499.000000,12370.000000,12390.000000,10384.506836,49736
2015-03-05,12365.000000,12804.000000,12200.000000,12400.000000,10392.889648,108665
2015-03-06,12441.000000,12441.000000,12131.000000,12200.000000,10225.261719,93101
2015-03-09,12193.000000,12397.000000,12132.000000,12165.000000,10195.927734,25907
2015-03-10,12165.000000,12189.000000,12001.000000,12079.000000,10123.847656,106708
2015-03-11,12000.000000,12084.000000,11620.000000,11710.000000,9814.576172,103841
2015-03-12,11850.000000,12046.000000,11702.000000,11950.000000,10015.727539,192073
2015-03-13,11795.000000,12199.000000,11795.000000,11925.000000,9994.774414,99161
2015-03-16,11800.000000,12190.000000,11800.000000,12123.000000,10160.725586,46546
2015-03-17,12036.000000,12283.000000,12036.000000,12180.000000,10208.499023,120789
2015-03-18,12268.000000,12476.000000,12133.000000,12454.000000,10438.149414,333372
2015-03-19,12257.000000,12733.000000,12257.000000,12639.000000,10593.203125,87201
2015-03-20,12558.000000,12671.000000,12204.000000,12430.000000,10418.034180,79332
2015-03-23,12465.000000,12700.000000,12272.000000,12350.000000,10350.982422,93571
2015-03-24,12300.000000,12362.000000,12182.000000,12270.000000,10283.932617,43326
2015-03-25,12150.000000,12322.000000,12150.000000,12295.000000,10304.885742,69548
2015-03-26,12287.000000,12287.000000,12150.000000,12254.000000,10270.522461,58502
2015-03-27,12245.000000,12325.000000,12205.000000,12290.000000,10300.694336,297555
2015-03-30,12346.000000,12537.000000,12293.000000,12500.000000,10476.703125,280902
2015-03-31,12580.000000,12596.000000,12229.000000,12314.000000,10320.810547,92197
2015-04-01,12217.000000,12405.000000,12106.000000,12330.000000,10334.220703,392593
2015-04-02,12330.000000,12497.000000,12330.000000,12376.000000,10372.774414,72818
2015-04-03,12376.000000,12376.000000,12376.000000,12376.000000,10372.774414,0
2015-04-06,12376.000000,12376.000000,12376.000000,12376.000000,10372.774414,0
2015-04-07,12371.000000,12600.000000,12371.000000,12500.000000,10476.703125,90491
2015-04-08,12700.000000,12899.000000,12500.000000,12801.000000,10728.981445,65265
2015-04-09,12900.000000,13360.000000,12860.000000,13360.000000,11197.500977,65083
2015-04-10,13653.000000,13800.000000,13366.000000,13400.000000,11231.026367,108013
2015-04-13,13219.000000,13609.000000,13202.000000,13460.000000,11281.313477,64662
2015-04-14,13520.000000,14374.000000,13520.000000,13672.000000,11458.998047,59407
2015-04-15,13672.000000,13890.000000,13002.000000,13342.000000,11182.414063,160421
2015-04-16,13499.000000,13504.000000,13307.000000,13307.000000,11153.078125,109632
2015-04-17,13500.000000,13500.000000,13313.000000,13381.000000,11215.101563,52295
2015-04-20,13507.000000,13507.000000,13318.000000,13318.000000,11162.298828,91586
2015-04-21,13400.000000,13410.000000,13103.000000,13153.000000,11024.005859,269698
2015-04-22,13200.000000,13399.000000,13150.000000,13270.000000,11122.068359,60183
2015-04-23,13297.000000,13400.000000,13297.000000,13350.000000,11189.118164,24611
2015-04-24,13700.000000,13900.000000,12816.000000,12940.000000,10845.483398,100393
2015-04-27,12940.000000,12940.000000,12940.000000,12940.000000,10845.483398,0
2015-04-28,12941.000000,13438.000000,12934.000000,13400.000000,11231.026367,243371
2015-04-29,13400.000000,13448.000000,13310.000000,13374.000000,11209.234375,80504
2015-04-30,13362.000000,13376.000000,13291.000000,13308.000000,11153.917969,12296
2015-05-01,13308.000000,13308.000000,13308.000000,13308.000000,11153.917969,0
2015-05-04,13330.000000,13349.000000,13207.000000,13207.000000,11069.266602,84259
2015-05-05,13333.000000,13349.000000,12905.000000,13176.000000,11043.283203,97082
2015-05-06,13191.000000,13200.000000,12988.000000,13100.000000,10979.584961,157593
2015-05-07,13073.000000,13111.000000,12969.000000,13016.000000,10909.181641,81401
2015-05-08,13016.000000,13344.000000,13016.000000,13158.000000,11028.197266,38500
2015-05-11,13395.000000,13395.000000,13200.000000,13350.000000,11189.118164,60180
2015-05-12,13366.000000,13366.000000,13200.000000,13300.000000,11147.210938,26404
2015-05-13,13158.000000,13250.000000,12987.000000,12987.000000,10884.875977,34357
2015-05-14,13100.000000,13237.000000,12960.000000,13180.000000,11046.635742,72383
2015-05-15,13390.000000,13518.000000,13199.000000,13510.000000,11323.220703,41310
2015-05-18,13675.000000,13849.000000,13515.000000,13750.000000,11524.372070,60011
2015-05-19,13750.000000,13756.000000,13700.000000,13730.000000,11507.611328,27225
2015-05-20,13736.000000,13937.000000,13726.000000,13937.000000,11681.104492,104823
2015-05-21,13937.000000,13937.000000,13520.000000,13570.000000,11373.507813,46714
2015-05-22,13500.000000,13500.000000,13401.000000,13402.000000,11232.703125,30280
2015-05-25,13449.000000,13450.000000,13400.000000,13421.000000,11248.625977,32742
2015-05-26,13450.000000,13450.000000,13027.000000,13050.000000,10937.676758,77043
2015-05-27,12960.000000,13206.000000,12750.000000,13100.000000,10979.584961,126750
2015-05-28,13100.000000,13225.000000,13100.000000,13190.000000,11055.016602,124476
2015-05-29,13199.000000,13256.000000,13003.000000,13250.000000,11105.305664,438814
2015-06-01,13370.000000,13371.000000,13000.000000,13000.000000,10895.771484,128632
2015-06-02,13147.000000,13147.000000,12750.000000,13045.000000,10933.486328,75808
2015-06-03,13130.000000,13200.000000,13000.000000,13015.000000,10908.342773,29200
2015-06-04,13400.000000,13400.000000,12900.000000,13050.000000,10937.676758,133988
2015-06-05,13050.000000,13285.000000,13050.000000,13265.000000,11117.876953,57553
2015-06-08,12900.000000,13131.000000,12538.000000,13000.000000,10961.881836,98767
